FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,batiment_nom,batiment_fonction,batiment_annee,geometry
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ad8,Savanes,Kpendjal,Kpendjal 1,Koundjoaré,Bureau Et Classes,"Salle de classe, bureau",2003,"MULTIPOLYGON (((0.6144043068819872 10.9819152128275, 0.6143954802078967 10.981791736061599, 0.6140755132720783 10.9818393937668, 0.6140887532832162 10.9819563717381, 0.6144043068819872 10.9819152128275)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ad9,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Nayéga,Terrain De Sport,Loisirs,Nsp,"MULTIPOLYGON (((0.3788000000000012 10.761985000000003, 0.3788449999999994 10.761371666666662, 0.3794449999999999 10.761313333333334, 0.3793716666666666 10.76208, 0.3788000000000012 10.761985000000003)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ada,Savanes,Kpendjal,Kpendjal 1,Koundjoaré,Bureau Et Classe,"Salle de classe, bureau",2001,"MULTIPOLYGON (((0.6272962952552699 10.990955612771797, 0.627259867260231 10.9910640096667, 0.6269809654232081 10.990980197638098, 0.6270048712949526 10.990876270689501, 0.6272962952552699 10.990955612771797)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2adb,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Pogno,"Salles De Classes, Bureau Et Dépôt","Salle de classe, bureau, dépôt/magasin",2006,"MULTIPOLYGON (((0.5518269325493532 10.955781210814298, 0.5518134135788596 10.955676504920199, 0.5521198435767304 10.9556529092207, 0.5521228477923954 10.955748766738399, 0.5518269325493532 10.955781210814298)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2adc,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Pogno,Salle De Classe,Salle de classe,2021,"MULTIPOLYGON (((0.5518082244843117 10.955777259261797, 0.5517966666666658 10.9556845907188, 0.5516483413402339 10.955711067448298, 0.5516676043696402 10.955799953594399, 0.5518082244843117 10.955777259261797)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2add,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Pogno,Salle De Classe,Salle de classe,2019,"MULTIPOLYGON (((0.5516762812157042 10.955617095099802, 0.5518284591480207 10.95560007434, 0.5518111224215547 10.9554412138678, 0.5516608707921806 10.9554695818155, 0.5516762812157042 10.955617095099802)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ade,Centrale,Mô,Mô 2,Tindjasse,Bâtiment 1,"Salle de classe, bureau, dépôt/magasin",2016,"MULTIPOLYGON (((0.3953900000000004 8.728569999999998, 0.3953333333333333 8.728473333333334, 0.3956616666666663 8.728315, 0.3957317113459349 8.72843212579848, 0.3953900000000004 8.728569999999998)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2adf,Centrale,Mô,Mô 2,Tindjasse,Bâtiment 3,Cantine,2016,"MULTIPOLYGON (((0.3951750526122229 8.728741714749813, 0.3951750526122229 8.728741714749813, 0.3951750526122229 8.728741714749813, 0.3951750526122229 8.728741714749813, 0.3951804622493824 8.728767023797642, 0.3950650000000003 8.728823333333336, 0.3950585052384535 8.728789586815953, 0.3951750526122229 8.728741714749813)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ae0,Centrale,Mô,Mô 2,Tindjasse,Bâtiment 2,Salle de classe,2008,"MULTIPOLYGON (((0.3951151329903621 8.728719703190562, 0.3950931937090697 8.728690132490376, 0.3952707024395234 8.728606677390546, 0.3952826693202276 8.728634714801492, 0.3951151329903621 8.728719703190562)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ae1,Plateaux,Moyen-Mono,Moyen-Mono 2,Saligbé,Bâtiment 1,Salle de classe,2021,"MULTIPOLYGON (((1.6325911981280985 7.218031893385304, 1.6325948439493505 7.217956842104908, 1.6326677603743804 7.217968597125553, 1.6326632030978165 7.218034606081956, 1.6325911981280985 7.218031893385304)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ae2,Plateaux,Moyen-Mono,Moyen-Mono 2,Saligbé,Bâtiment 1,"Salle de classe, bureau, dépôt/magasin",1995,"MULTIPOLYGON (((1.6322313955167116 7.223739181391564, 1.6323156676931465 7.223746558151665, 1.6323305392536935 7.223485912555116, 1.6322570076487646 7.2234818143527155, 1.6322313955167116 7.223739181391564)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ae3,Plateaux,Ogou,Ogou 4,Ountivou,Néant,Salle de classe,2021,"MULTIPOLYGON (((1.638931666666667 7.46579, 1.6389916666666666 7.465741666666665, 1.6390266666666673 7.465775000000002, 1.6389643687255024 7.465822488414925, 1.638931666666667 7.46579)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ae4,Plateaux,Ogou,Ogou 4,Ountivou,Bâtiment 2,Salle de classe,2019,"MULTIPOLYGON (((1.6388100000000003 7.465621666666666, 1.6387633333333331 7.465675000000002, 1.6388283333333338 7.465750000000002, 1.6388810389196804 7.465698141243433, 1.6388100000000003 7.465621666666666)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ae5,Centrale,Tchamba,Tchamba 3,Kaboli,Bâtiment 1,Salle de classe,2018,"MULTIPOLYGON (((1.6274266666666664 8.657540000000001, 1.6275049999999998 8.657375, 1.6275757991275228 8.65740256091499, 1.62749945720208 8.657571905124678, 1.6274266666666664 8.657540000000001)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ae6,Savanes,Tône,Tône 4,Korbongou,Logement,Logement,2008,"MULTIPOLYGON (((0.3872867328462332 11.0344517748152, 0.3871839784805494 11.034403911577597, 0.3872310016648443 11.034321860294996, 0.3873651048200616 11.034403911577597, 0.3872867328462332 11.0344517748152)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ae7,Savanes,Tône,Tône 4,Sanfatoute,Salle De Classe,Salle de classe,2019,"MULTIPOLYGON (((0.3440857752259045 11.043811165668997, 0.344119268787227 11.0437757140755, 0.3440677149722505 11.043725759549998, 0.3440322512014379 11.0437654008838, 0.3440857752259045 11.043811165668997)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ae8,Savanes,Tône,Tône 4,Sanfatoute,Bâtiment 2,Salle de classe,1995,"MULTIPOLYGON (((0.3440821237108204 11.043839844030998, 0.344139030671066 11.0438878204031, 0.3441871827143518 11.043820510266897, 0.3441244391427979 11.0437711017529, 0.3440821237108204 11.043839844030998)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ae9,Savanes,Tône,Tône 4,Sanfatoute,Bâtiment 3,Salle de classe,2019,"MULTIPOLYGON (((0.3441616666666674 11.043919999999995, 0.3442099999999996 11.043949999999999, 0.3442683333333329 11.043886666666697, 0.3442333333333329 11.043826666666698, 0.3441616666666674 11.043919999999995)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2aea,Savanes,Tône,Tône 4,Korbongou,Logement,Logement,2008,"MULTIPOLYGON (((0.3866107421122921 11.0341448891955, 0.3866107421122921 11.0341448891955, 0.3866107421122921 11.0341448891955, 0.3866107421122921 11.0341448891955, 0.3866107421122921 11.0341448891955, 0.3866651966463632 11.034115195944398, 0.3866818355317717 11.034147116189198, 0.38663645675338 11.034170870787797, 0.3866107421122921 11.0341448891955)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2aeb,Savanes,Tône,Tône 4,Korbongou,Salle De Classes,"Salle de classe, bureau, dépôt/magasin",2008,"MULTIPOLYGON (((0.3858146990794173 11.033616134225698, 0.3861185590237723 11.033704389827399, 0.3861557663638951 11.033599396091299, 0.3858550070312189 11.033512662106999, 0.3858146990794173 11.033616134225698)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2aec,Plateaux,Haho,Haho 1,Dalia,Bâtiment 3,Bâtiment scolaire,2008,"MULTIPOLYGON (((1.1621301169647547 6.814191645937735, 1.162231798673136 6.814149266218606, 1.1622179900460723 6.81410564003324, 1.1621250956458227 6.814146773293836, 1.1621301169647547 6.814191645937735)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2aed,Plateaux,Haho,Haho 1,Notsé,Bâtiment 3,Salle de classe,2014,"MULTIPOLYGON (((1.1811558307733476 6.953838490183241, 1.1813550916968933 6.953835623586661, 1.1813493160179496 6.953769691860504, 1.1811514990141403 6.953773991755968, 1.1811558307733476 6.953838490183241)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2aee,Plateaux,Haho,Haho 1,Notsé,Bâtiment 1,Salle de classe,2020,"MULTIPOLYGON (((1.1250799999999999 6.919598333333333, 1.1250556581653164 6.919772232971271, 1.1251444187920046 6.919774435823235, 1.1251632804251759 6.919608120471119, 1.1250799999999999 6.919598333333333)))"
