FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18bc,Kara,Doufelgou,Doufelgou 1,Niamtougou,Waoura,JEC Niamtougou,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Doufelgou,Non,MEPSTA,POINT (1.1076266666666674 9.762870114149413)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18bb,Kara,Doufelgou,Doufelgou 1,Niamtougou,Tanfelakeni,JEP Tanfelakeni,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.123781666666667 9.761828333333323)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18ba,Kara,Doufelgou,Doufelgou 1,Niamtougou,Samogou,JEP Sada,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.1014368253553446 9.758856034281676)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18b9,Kara,Doufelgou,Doufelgou 1,Niamtougou,Ragou-ka,JEP Niamtougou Centrale Gb,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Doufelgou,Non,MEPSTA,POINT (1.1116199449250694 9.767263946644286)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18b8,Kara,Doufelgou,Doufelgou 1,Niamtougou,Agnote,JEP Yaka Centrale,S/C BP 98,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.099683272504998 9.74664996448323)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18b7,Kara,Doufelgou,Doufelgou 1,Niamtougou,Douga-eni,JEP Douga-eni Ga,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Doufelgou,Non,MEPSTA,POINT (1.111825109405721 9.760082934824462)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18b6,Kara,Doufelgou,Doufelgou 1,Ténéga,Bidigou,JEP Tenega,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.1326631288415252 9.81778032009775)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18b5,Kara,Doufelgou,Doufelgou 1,Ténéga,Djeregou,JEP Djeregou,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.1456941952522204 9.817684819911511)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18b4,Kara,Doufelgou,Doufelgou 1,Ténéga,Natangou yitti,JEP Natangou Yitti,Nsp,"{Lundi,Mardi,Mercredi,Vendredi,Jeudi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Doufelgou,Non,MEPSTA,POINT (1.1470545374550587 9.833566112411107)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18b3,Kara,Doufelgou,Doufelgou 1,Ténéga,Djafaga,JEP Djofaga,S/C BP 98 NIAMTOUGOU,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.1370516666666668 9.810994999999998)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18b2,Kara,Doufelgou,Doufelgou 1,Ténéga,Natoun,JEP Natoun,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.1248559082483258 9.82982180056203)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18b1,Kara,Doufelgou,Doufelgou 1,Baga,Kirgah,JEP Kirgah,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.0957782016414712 9.801812811591937)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18b0,Kara,Doufelgou,Doufelgou 1,Baga,Samaragou,JEP Baga,Nsp,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.1011844574757128 9.791386540962865)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18af,Kara,Doufelgou,Doufelgou 1,Baga,Nsp,JEC Baga Gb,Nsp,"{Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Doufelgou,Non,MEPSTA,POINT (1.1060872701261646 9.801887845380033)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18ae,Kara,Kéran,Kéran 2,Ossacré,Ossacre zongo,JEP Ossacre A,S/C Inspection BP 38,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (0.7173724815782443 10.070678701859308)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18ad,Kara,Kéran,Kéran 2,Ossacré,Ossacre,JEP Ossacre Gb,S/C IEPP keran BP38 KANDE,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (0.709776582319331 10.072066783810964)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18ac,Kara,Kéran,Kéran 2,Ossacré,Nande,JEP Nande,S/C Inspection BP 38,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (0.7537475018935024 10.04789437363649)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18ab,Kara,Kéran,Kéran 2,Ossacré,Kpelenga,JEP Kpelenga,Nsp,"{Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (0.7499935925156875 10.0959746093454)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18aa,Kara,Kéran,Kéran 2,Ossacré,Pangouda,JEP Pangouda,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (0.7993109546735075 10.021015926128664)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18a9,Kara,Kéran,Kéran 2,Ossacré,Namiè,JEP Ossacre Zongo,S/C Inspection BP38,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Oui,MEPSTA,POINT (0.7158734260045944 10.064388307078742)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18a8,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Tsive,CS Mon Avenir JE,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Agoè-Nyivé-Est,Non,MEPSTA,POINT (1.2160619495210336 6.327640453762199)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18a7,Kara,Doufelgou,Doufelgou 1,Massédéna,Kore,JEP Massedena,Néant,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.2656257231711272 9.93175674565854)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18a6,Kara,Doufelgou,Doufelgou 1,Massédéna,Lira,JEP Koumde,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.2786816147755486 9.952214027827742)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18a5,Kara,Doufelgou,Doufelgou 1,Massédéna,Tchitchira,JEP Tchichira Ga,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.288435174243072 10.002620460568133)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18a4,Kara,Doufelgou,Doufelgou 1,Massédéna,Kounantchere,JEP Kounantchere,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.2037902187456155 9.969386152261874)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18a3,Kara,Doufelgou,Doufelgou 1,Koka,Konfaga,JEP Konfaga,Nsp,"{Lundi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.180445359076141 9.782444523045193)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18a2,Kara,Doufelgou,Doufelgou 3,Léon,Misseouta bloc7,JEP Kanka,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (0.9327148081598984 9.708062886557764)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18a1,Kara,Doufelgou,Doufelgou 3,Léon,Leon centre,JEP Bidjande,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Doufelgou,Non,MEPSTA,POINT (0.9256928706756635 9.687629056368595)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-18a0,Kara,Doufelgou,Doufelgou 3,Alloum,Adeva de soute,EPP Adeva De Soute,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Doufelgou,Non,MEPSTA,POINT (0.944610719605474 9.7394246289445)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-189f,Kara,Doufelgou,Doufelgou 3,Alloum,Akar,JEP Akar,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Doufelgou,Non,MEPSTA,POINT (0.8965836698297465 9.74264969207096)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-189e,Kara,Doufelgou,Doufelgou 3,Alloum,Anima 1,JEP Anima Ga,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.0320043624754882 9.776107219276804)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-189d,Kara,Doufelgou,Doufelgou 3,Kadjalla,Agbassa,JEP Agbassa,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine Prive de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (0.9090169662886654 9.783502905309817)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-189c,Kara,Doufelgou,Doufelgou 3,Kadjalla,Outi,JEP Kadjalla,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Oui,MEPSTA,POINT (0.9749761446728816 9.794823889349374)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-189b,Kara,Doufelgou,Doufelgou 3,Kadjalla,Kadjallim,JEP Kadjallim,Nsp,"{Mardi,Lundi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine Prive de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (0.9135205023793076 9.821914844032788)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-189a,Kara,Doufelgou,Doufelgou 3,Kadjalla,Koutakou,JEP Koutakou,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.016310488016245 9.789031734385437)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1899,Kara,Doufelgou,Doufelgou 3,Kadjalla,Okpeloun,JEP Okpeloun,Nsp,"{Lundi,Jeudi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (0.9367949999999992 9.804943333333327)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1898,Kara,Doufelgou,Doufelgou 3,Kadjalla,Outi,JEP Agomboua,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (0.9959415268597568 9.824801919216858)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1897,Kara,Doufelgou,Doufelgou 2,Défalé,Hounde,JEP Hounde,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.1235266666666672 9.904189999999996)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1896,Kara,Doufelgou,Doufelgou 3,Kadjalla,Outi,EPP Awassan,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (0.9620953312859835 9.84140897904354)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1895,Kara,Doufelgou,Doufelgou 3,Kadjalla,Outi,JEP Agounde 10,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (0.9309009391648299 9.844070465919476)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1894,Kara,Doufelgou,Doufelgou 3,Kadjalla,Agounde,JEP Agounde,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (0.8830677954067844 9.840809076821811)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1893,Kara,Doufelgou,Doufelgou 3,Kadjalla,Oursemou,JEP Tchore Agayi,Nsp,"{Lundi,Vendredi,Mardi,Mercredi,Jeudi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (0.901715456352254 9.855219912204674)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1892,Kara,Doufelgou,Doufelgou 3,Tchoré,Tchore,EPP Tchore Ville,98,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.0172987949088268 9.848187046066858)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1891,Kara,Doufelgou,Doufelgou 3,Anima,Atchakalao,JEP Atchakalao,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.0461016666666656 9.853888333333323)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1890,Kara,Kéran,Kéran 2,Ataloté,Outrite,JEP Outrite,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (0.8762725656174832 9.997636727340343)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-188f,Kara,Kéran,Kéran 2,Ataloté,Warte-oussendou,JEP Warte-oussendou,Nsp,"{Lundi,Mardi,Vendredi,Mercredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (0.884492425630452 9.91050907145119)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-188e,Kara,Kéran,Kéran 2,Ataloté,Adelo,JEP Adelo,Nsp,"{Mardi,Mercredi,Jeudi,Vendredi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (0.8674004157997819 9.92399927835626)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-188d,Kara,Kéran,Kéran 2,Ataloté,Terite,JEP Terite,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (0.9229233333333332 9.917761666666664)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-188c,Kara,Kéran,Kéran 2,Ataloté,Atalote,JEP Atalote,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Kéran,Non,MEPSTA,POINT (0.9471849999999992 9.940674999999995)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-188b,Kara,Kéran,Kéran 2,Ataloté,Tchaste,JEP Tchaste Ga,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (0.944605000000001 9.882438333333326)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-188a,Kara,Doufelgou,Doufelgou 2,Défalé,Laou,JEP Defale,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.0917362488446465 9.866078658987602)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1889,Kara,Doufelgou,Doufelgou 2,Défalé,Delore,JEC Hulmen,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - entreprise,IEPP Doufelgou,Non,MEPSTA,POINT (1.093093685171524 9.86594824746783)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1888,Kara,Doufelgou,Doufelgou 2,Défalé,Wolade,JE Atachiarare,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Doufelgou,Non,MEPSTA,POINT (1.075510875556315 9.844563623647192)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1887,Kara,Doufelgou,Doufelgou 2,Défalé,"Animade, tamde",JEDIL Animade,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.1044507339770817 9.868944213012318)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1886,Kara,Doufelgou,Doufelgou 2,Défalé,Omalo,JEP Omalo,S/C IEPP BP38,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.1129044381424265 9.988112413529162)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1885,Kara,Doufelgou,Doufelgou 2,Défalé,Adelo,JEP Adelo,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.0921593859190128 9.882700093342557)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1884,Kara,Doufelgou,Doufelgou 2,Défalé,Amaide,JEC Amaide,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.1052850962625143 9.853485796311865)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1883,Kara,Doufelgou,Doufelgou 2,Kpaha,Kpaha centre,JEP Kpaha,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.1231099999999996 9.883670000000004)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1882,Kara,Doufelgou,Doufelgou 2,Kpaha,Kakadjide,JEP Kakadjide,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Doufelgou,Non,MEPSTA,POINT (1.1319133333333335 9.882448333333334)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1881,Kara,Kéran,Kéran 1,Kantè,Kaouno,JEP Kaouno,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (1.0507569104784422 9.888327005701774)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1880,Kara,Kéran,Kéran 1,Kantè,Agninkata,JEP Agninkata,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Kéran,Non,MEPSTA,POINT (1.0344542112879607 9.973415420416414)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-187f,Kara,Kéran,Kéran 1,Kantè,Mandouta,JEC Kande,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Kéran,Non,MEPSTA,POINT (1.0502405768368652 9.958295880245268)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-187e,Kara,Kéran,Kéran 1,Kantè,Tamde,JEP Tamde,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (1.0919936559125258 9.924985365643455)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-187d,Kara,Kéran,Kéran 1,Kantè,Atetou,JEP Atetou,S/C Inspection BP 38,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Oui,MEPSTA,POINT (1.0486440581892116 9.921304873753733)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-187c,Kara,Kéran,Kéran 1,Kantè,Awanda,JEP Awanda,S/C Inspection BP 38,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (1.033265824754476 9.883512130735214)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-187b,Kara,Kéran,Kéran 1,Kantè,Nyande,JEP Nyande,S/C Inspection BP38,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Oui,MEPSTA,POINT (1.0802615630492867 9.972462697185245)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-187a,Kara,Kéran,Kéran 1,Kantè,Worongo,JEP Central Kande,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Kéran,Non,MEPSTA,POINT (1.0421178156222797 9.960845824782774)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1879,Kara,Kéran,Kéran 1,Kantè,Kande,JEP Mfissa,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Kéran,Oui,MEPSTA,POINT (1.0436182556535982 9.953673326032202)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1878,Kara,Kéran,Kéran 1,Kantè,Mossonta,JEP Gnounlemr,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Kéran,Non,MEPSTA,POINT (1.0534856790834606 9.945879251521019)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1877,Kara,Kéran,Kéran 1,Kantè,Anima,JEP Anima,S/C BP 38,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (1.0285100345095997 9.920852619614964)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1876,Kara,Kéran,Kéran 1,Kantè,Atekante,JEP Atekante,Nsp,"{Lundi,Mardi,Mercredi,Jeudi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (1.0522014419046972 9.966808728418489)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1875,Kara,Kéran,Kéran 1,Kantè,Deoute,JEP Deoute,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (1.0780730835525867 9.936352865042343)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1874,Kara,Kéran,Kéran 1,Kantè,Gloubi,JEP Gloubi,S/c Inspection BP38 KANDE-TOGO,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (1.0860029953671868 10.032552415942108)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1873,Kara,Kéran,Kéran 1,Kantè,Kande-saar,JEP Kande-saar,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Oui,MEPSTA,POINT (1.0428417319299823 9.944296414093104)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1872,Kara,Kéran,Kéran 1,Pessidè,Soute,JEP Soute,Village de soute,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Kéran,Non,MEPSTA,POINT (0.9668648695423503 9.9819958011847)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1871,Kara,Kéran,Kéran 1,Pessidè,Adjaite,JEP Adjaite,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (1.0138661689387183 9.92650095362931)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1870,Kara,Kéran,Kéran 1,Pessidè,Ancien pesside,JEP Pesside Ancien Ga,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (0.9408248212429564 10.039951180574407)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-186f,Kara,Kéran,Kéran 1,Pessidè,Kokote,JEP Kokote,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (1.0006024578616681 9.950284556548432)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-186e,Kara,Kéran,Kéran 1,Pessidè,Awoulonta,JEP Awoulonta,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kéran,Non,MEPSTA,POINT (0.9758016666666673 9.948493333333333)
