FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b99,Centrale,Blitta,Blitta 1,Yaloumbè,Boronda,JEP Yaloumbe Gb,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.0755229430457303 8.297632873524211)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b98,Centrale,Blitta,Blitta 1,Tchaloudè,Kazawai,JEP Kazawai,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.215743712252396 8.37991672778678)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b97,Centrale,Blitta,Blitta 1,Tchaloudè,Laou,JEP Tchaloude,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1188507609490117 8.257587578508538)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b96,Centrale,Blitta,Blitta 1,Tchaloudè,Abidjande,JEP Abidjade,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1382339066272043 8.371305777973873)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b95,Centrale,Blitta,Blitta 1,Tchaloudè,Ninaou,JEP Tchaloude-plateau,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1155658446616825 8.251929617032946)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b94,Centrale,Blitta,Blitta 1,Tchaloudè,Toule,JEP Toule,Néant,"{Vendredi,Jeudi,Mardi,Lundi,Mercredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Oui,MEPSTA,POINT (1.1502487399495227 8.314339515385264)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b93,Centrale,Blitta,Blitta 1,Tchaloudè,Kaza-cope,JEP Kaza-cope,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1106976182580182 8.274599965893731)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b92,Centrale,Blitta,Blitta 1,Doufouli,Ayagassi,JEP Doufouli,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (0.932864408166144 8.308039443078362)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b91,Centrale,Blitta,Blitta 1,Doufouli,Amalakle,JEP Amalakle,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (0.9264809852170162 8.318925738937809)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b90,Centrale,Blitta,Blitta 2,Tcharè-Baou,Afima balga 1,JEP Afima,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Ouest,Non,MEPSTA,POINT (1.0309727874744559 8.100247640998075)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b8f,Centrale,Blitta,Blitta 2,Tcharè-Baou,Soussoukparogan,JEP Soussoukparogan,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Ouest,Non,MEPSTA,POINT (1.0349110418504557 8.027412735214227)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b8e,Centrale,Blitta,Blitta 2,Tcharè-Baou,Baou,JEP Tchare Baou,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Ouest,Non,MEPSTA,POINT (1.0211236277551696 8.064707402489137)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b8d,Centrale,Blitta,Blitta 2,Tcharè-Baou,Siou-cope,JEP Tchare-baou-plateau,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Ouest,Non,MEPSTA,POINT (1.0224561960637055 8.068903735633343)
